cluster,case_type,count,p_cluster_given_case,p_cluster,lift
83,standard_build,25,0.01188212927756654,0.005,2.376425855513308
84,standard_build,45,0.02138783269961977,0.009,2.376425855513308
85,regulated_export,33,0.04700854700854701,0.0066,7.122507122507122
86,standard_build,37,0.01758555133079848,0.0074,2.376425855513308
87,standard_build,45,0.02138783269961977,0.009,2.376425855513308
88,regulated_export,44,0.06267806267806268,0.0088,7.122507122507122
89,regulated_export,46,0.06552706552706553,0.0092,7.122507122507122
90,regulated_export,23,0.03276353276353276,0.0046,7.122507122507122
91,regulated_export,30,0.042735042735042736,0.006,7.122507122507122
92,regulated_export,43,0.06125356125356125,0.0086,7.122507122507122
93,regulated_export,30,0.042735042735042736,0.006,7.122507122507122
94,custom_configuration,32,0.049689440993788817,0.0064,7.763975155279502
95,custom_configuration,49,0.07608695652173914,0.0098,7.763975155279504
96,standard_build,30,0.014258555133079848,0.006,2.376425855513308
97,standard_build,46,0.021863117870722433,0.0092,2.376425855513308
98,standard_build,38,0.01806083650190114,0.0076,2.376425855513308
99,regulated_export,37,0.05270655270655271,0.0074,7.122507122507122
100,standard_build,29,0.013783269961977186,0.0058,2.376425855513308
101,supplier_substitution,62,0.09702660406885759,0.0124,7.82472613458529
102,supplier_substitution,30,0.046948356807511735,0.006,7.824726134585289
103,regulated_export,40,0.05698005698005698,0.008,7.122507122507122
104,regulated_export,41,0.0584045584045584,0.0082,7.1225071225071215
105,regulated_export,36,0.05128205128205128,0.0072,7.122507122507122
106,standard_build,28,0.013307984790874524,0.0056,2.376425855513308
107,regulated_export,25,0.03561253561253561,0.005,7.122507122507122
108,standard_build,30,0.014258555133079848,0.006,2.376425855513308
109,standard_build,35,0.016634980988593156,0.007,2.376425855513308
110,standard_build,42,0.019961977186311788,0.0084,2.3764258555133084
111,expedited_delivery,29,0.031833150384193196,0.0058,5.488474204171241
112,custom_configuration,12,0.018633540372670808,0.0084,2.218278615794144
112,standard_build,7,0.003326996197718631,0.0084,0.3960709759188847
112,supplier_substitution,23,0.03599374021909233,0.0084,4.284969073701468
113,supplier_substitution,41,0.06416275430359937,0.0082,7.824726134585289
114,standard_build,32,0.015209125475285171,0.0064,2.376425855513308
115,custom_configuration,35,0.05434782608695652,0.01,5.434782608695652
115,standard_build,15,0.007129277566539924,0.01,0.7129277566539924
116,expedited_delivery,39,0.042810098792535674,0.0078,5.488474204171241
117,custom_configuration,18,0.027950310559006212,0.0068,4.110339788089149
117,standard_build,16,0.0076045627376425855,0.0068,1.1183180496533214
118,custom_configuration,1,0.0015527950310559005,0.0098,0.15844847255672453
118,expedited_delivery,1,0.0010976948408342481,0.0098,0.11200967763614778
118,regulated_export,11,0.01566951566951567,0.0098,1.598930170358742
118,standard_build,15,0.007129277566539924,0.0098,0.7274773027081556
118,supplier_substitution,21,0.03286384976525822,0.0098,3.3534540576794103
119,expedited_delivery,9,0.009879253567508232,0.0048,2.0581778265642154
119,regulated_export,4,0.005698005698005698,0.0048,1.187084520417854
119,standard_build,11,0.005228136882129277,0.0048,1.089195183776933
