cluster,case_type,count,p_cluster_given_case,p_cluster,lift
71,expedited_delivery,24,0.026344676180021953,0.0048,5.488474204171241
72,expedited_delivery,37,0.04061470911086718,0.0074,5.488474204171241
73,expedited_delivery,57,0.06256860592755215,0.0114,5.488474204171241
74,expedited_delivery,52,0.0570801317233809,0.0104,5.488474204171241
75,expedited_delivery,35,0.038419319429198684,0.007,5.488474204171241
76,standard_build,41,0.019486692015209126,0.0082,2.376425855513308
77,expedited_delivery,32,0.03512623490669594,0.0064,5.48847420417124
78,expedited_delivery,39,0.042810098792535674,0.0078,5.488474204171241
79,supplier_substitution,23,0.03599374021909233,0.0046,7.82472613458529
80,custom_configuration,37,0.05745341614906832,0.0074,7.763975155279502
81,regulated_export,36,0.05128205128205128,0.0072,7.122507122507122
82,regulated_export,53,0.0754985754985755,0.0106,7.122507122507122
83,supplier_substitution,63,0.09859154929577464,0.0126,7.824726134585289
84,supplier_substitution,33,0.051643192488262914,0.0066,7.82472613458529
85,standard_build,37,0.01758555133079848,0.0074,2.376425855513308
86,custom_configuration,18,0.027950310559006212,0.0072,3.8819875776397517
86,standard_build,16,0.0076045627376425855,0.0072,1.0561892691170258
86,supplier_substitution,2,0.003129890453834116,0.0072,0.43470700747696056
87,standard_build,22,0.010456273764258554,0.0044,2.3764258555133075
88,standard_build,45,0.02138783269961977,0.009,2.376425855513308
89,regulated_export,53,0.0754985754985755,0.0106,7.122507122507122
90,custom_configuration,1,0.0015527950310559005,0.006,0.25879917184265006
90,expedited_delivery,1,0.0010976948408342481,0.006,0.18294914013904134
90,regulated_export,11,0.01566951566951567,0.006,2.611585944919278
90,standard_build,15,0.007129277566539924,0.006,1.188212927756654
90,supplier_substitution,2,0.003129890453834116,0.006,0.5216484089723527
91,expedited_delivery,9,0.009879253567508232,0.0048,2.0581778265642154
91,regulated_export,4,0.005698005698005698,0.0048,1.187084520417854
91,standard_build,11,0.005228136882129277,0.0048,1.089195183776933
92,standard_build,33,0.01568441064638783,0.0066,2.376425855513308
93,regulated_export,39,0.05555555555555555,0.0078,7.122507122507122
94,supplier_substitution,50,0.0782472613458529,0.01,7.82472613458529
95,supplier_substitution,22,0.03442879499217527,0.0044,7.824726134585289
96,regulated_export,30,0.042735042735042736,0.006,7.122507122507122
97,regulated_export,24,0.03418803418803419,0.0048,7.122507122507124
98,supplier_substitution,41,0.06416275430359937,0.0082,7.824726134585289
99,custom_configuration,32,0.049689440993788817,0.0064,7.763975155279502
100,custom_configuration,33,0.05124223602484472,0.0066,7.763975155279503
101,supplier_substitution,41,0.06416275430359937,0.0082,7.824726134585289
102,supplier_substitution,26,0.0406885758998435,0.0052,7.82472613458529
103,supplier_substitution,36,0.056338028169014086,0.0072,7.82472613458529
104,custom_configuration,47,0.07298136645962733,0.0094,7.763975155279502
105,custom_configuration,34,0.052795031055900624,0.0068,7.763975155279504
106,standard_build,20,0.009505703422053232,0.004,2.376425855513308
107,standard_build,38,0.01806083650190114,0.0076,2.376425855513308
108,standard_build,43,0.02043726235741445,0.0086,2.376425855513308
109,supplier_substitution,33,0.051643192488262914,0.0066,7.82472613458529
110,custom_configuration,12,0.018633540372670808,0.011,1.6939582156973463
110,regulated_export,36,0.05128205128205128,0.011,4.662004662004662
110,standard_build,7,0.003326996197718631,0.011,0.30245419979260285
111,supplier_substitution,37,0.057902973395931145,0.0074,7.82472613458529
112,supplier_substitution,48,0.07511737089201878,0.0096,7.8247261345852905
113,supplier_substitution,28,0.04381846635367762,0.0056,7.82472613458529
114,standard_build,21,0.009980988593155894,0.0042,2.3764258555133084
115,standard_build,21,0.009980988593155894,0.0042,2.3764258555133084
116,custom_configuration,23,0.03571428571428571,0.0046,7.763975155279502
117,standard_build,32,0.015209125475285171,0.0064,2.376425855513308
